cause,age,alpha,beta,gamma,tmrel
IHD,25,96.61508578,0.000994329,0.381507675,2.915410696
IHD,25,207.9366744,0.000913955,0.300563274,4.807649984
IHD,25,15.57852592,0.007558122,0.370806296,2.693403877
IHD,25,23.73787937,0.007079312,0.332523817,3.689716491
IHD,25,41.37883722,0.006460429,0.278269406,4.714126423
IHD,25,17.65260171,0.013440616,0.301814744,4.882226785
IHD,25,26.83006579,0.004425922,0.375299725,2.434325888
IHD,25,12.18915653,0.012686939,0.332538607,5.146565638
IHD,25,69.52561294,0.001353534,0.383700684,5.111016233
IHD,25,21.17867244,0.011492862,0.312888619,2.707751993
IHD,25,293.5091634,0.000445164,0.349509464,3.435047828
IHD,25,6.370411997,0.016602326,0.401593806,5.7302215
IHD,25,39.03458325,0.00440298,0.331596816,3.485581725
IHD,25,37.82167278,0.001942282,0.418476908,3.522447446
IHD,25,7.228336525,0.010333187,0.434263172,4.718928335
IHD,25,41.4796679,0.007386504,0.276196828,5.802648902
IHD,25,52.7723617,0.001802351,0.388712687,3.221135644
IHD,25,7.624717177,0.01639695,0.375816429,5.55281159
IHD,25,77.15009092,0.001372247,0.377900829,5.227148967
IHD,25,17.44092768,0.007493464,0.36636979,4.860698357
IHD,25,16.07656186,0.006553304,0.388989743,5.525317064
IHD,25,13.1542994,0.006789951,0.409599969,4.539267862
IHD,25,18.71759524,0.005288853,0.394423125,5.646825017
IHD,25,11.51730396,0.022676772,0.29839794,2.636851188
IHD,25,4.081939259,0.009930765,0.54118165,4.417935129
IHD,25,54.39358423,0.002298499,0.348080455,5.425480294
IHD,25,7.024176582,0.02753619,0.358378873,5.869011147
IHD,25,4.361924686,0.026066461,0.422882483,3.081779361
IHD,25,29.06218375,0.003509143,0.38950772,3.48112168
IHD,25,44.96056024,0.007161753,0.274915545,5.347147546
IHD,25,71.88372086,0.001171818,0.389458281,3.718718235
IHD,25,53.9183954,0.002836424,0.335951622,4.250766642
IHD,25,41.78232031,0.004287959,0.300714328,3.347777531
IHD,25,12.79637487,0.007934596,0.389821406,5.077828301
IHD,25,84.82500054,0.000829609,0.418469687,4.443560742
IHD,25,19.72329538,0.016000318,0.263666785,2.597027338
IHD,25,29.01581954,0.004113427,0.374240007,4.435123326
IHD,25,10.30572213,0.0090499,0.413612553,2.795723983
IHD,25,47.96042319,0.002403581,0.361317948,3.792034119
IHD,25,5.601027565,0.039790432,0.356401638,4.591905053
IHD,25,15.36139892,0.013091882,0.310604374,4.502971136
IHD,25,28.73099983,0.005326528,0.35476998,5.425439635
IHD,25,85.44832052,0.001472681,0.35328389,2.808501638
IHD,25,204.4571902,0.000711392,0.335258633,3.445736731
IHD,25,19.75984756,0.003444065,0.428663135,4.263441665
IHD,25,68.7919296,0.002240984,0.339971458,5.378642413
IHD,25,43.6754134,0.003331188,0.348262694,5.042179748
IHD,25,66.02140733,0.001181884,0.405865119,2.739240902
IHD,25,77.53032591,0.000343716,0.540973875,3.68942057
IHD,25,17.89476153,0.008795481,0.344682234,4.172427261
IHD,25,54.93092295,0.001754601,0.37400569,4.254813214
IHD,25,26.31607024,0.001488049,0.483572042,3.221267087
IHD,25,51.73205496,0.003484244,0.294073074,4.859593222
IHD,25,6.997357382,0.027282421,0.345562595,3.856328557
IHD,25,16.3306672,0.004549911,0.425006796,4.304935439
IHD,25,109.8888653,0.001118752,0.347328895,2.461704181
IHD,25,5.930517134,0.027057687,0.378470633,3.457043058
IHD,25,97.77851786,0.002366476,0.284773742,3.861131197
IHD,25,65.32638155,0.003091249,0.31736385,5.100557735
IHD,25,140.2205243,0.000904036,0.36413922,4.35471102
