x,y,Country
19.04,110.08,CHN
19.03,110.32,CHN
19.02,110.57,CHN
19.01,110.81,CHN
19,111.05,CHN
18.98,111.29,CHN
18.97,111.53,CHN
18.96,111.77,CHN
18.94,112.01,CHN
18.93,112.25,CHN
18.91,112.49,CHN
18.89,112.73,CHN
18.88,112.97,CHN
18.86,113.21,CHN
18.84,113.45,CHN
18.82,113.69,CHN
18.8,113.93,CHN
18.78,114.17,CHN
18.76,114.41,CHN
18.74,114.65,CHN
18.72,114.89,CHN
18.69,115.12,CHN
18.67,115.36,CHN
18.64,115.6,CHN
18.62,115.84,CHN
18.59,116.08,CHN
18.57,116.32,CHN
18.54,116.55,CHN
18.51,116.79,CHN
18.48,117.03,CHN
18.45,117.27,CHN
18.42,117.5,CHN
18.39,117.74,CHN
18.36,117.98,CHN
18.33,118.21,CHN
18.3,118.45,CHN
18.26,118.69,CHN
18.23,118.92,CHN
18.19,119.16,CHN
18.16,119.39,CHN
18.12,119.63,CHN
18.09,119.87,CHN
18.05,120.1,CHN
18.01,120.33,CHN
17.97,120.57,CHN
17.93,120.8,CHN
17.9,121.04,CHN
17.85,121.27,CHN
17.81,121.5,CHN
17.77,121.74,CHN
17.73,121.97,CHN
17.69,122.2,CHN
17.64,122.44,CHN
17.6,122.67,CHN
17.55,122.9,CHN
17.51,123.13,CHN
17.46,123.36,CHN
17.42,123.59,CHN
17.37,123.82,CHN
17.32,124.06,CHN
17.27,124.29,CHN
17.22,124.52,CHN
17.17,124.75,CHN
17.12,124.97,CHN
17.07,125.2,CHN
17.02,125.43,CHN
16.97,125.66,CHN
15.57,81.88,CHN
15.64,82.1,CHN
15.71,82.32,CHN
15.77,82.54,CHN
15.84,82.76,CHN
15.91,82.98,CHN
15.97,83.2,CHN
16.03,83.42,CHN
16.1,83.64,CHN
16.16,83.87,CHN
16.22,84.09,CHN
16.29,84.31,CHN
16.35,84.54,CHN
16.41,84.76,CHN
16.47,84.99,CHN
16.53,85.21,CHN
16.59,85.44,CHN
16.65,85.66,CHN
16.71,85.89,CHN
16.76,86.11,CHN
16.82,86.34,CHN
16.88,86.57,CHN
16.93,86.79,CHN
16.99,87.02,CHN
17.04,87.25,CHN
17.1,87.48,CHN
17.15,87.71,CHN
17.2,87.93,CHN
17.25,88.16,CHN
17.31,88.39,CHN
17.36,88.62,CHN
17.41,88.85,CHN
