x,y,human20_585
18.64,105.75,
18.64,105.99,
18.65,106.23,
18.65,106.47,
18.65,106.71,
18.65,106.95,
18.65,107.19,
18.64,107.43,
18.64,107.67,
18.64,107.91,
18.64,108.15,
18.63,108.39,
18.63,108.63,
18.62,108.87,28628.76106
18.62,109.11,143119.7079
18.61,109.35,76411.28274
18.6,109.58,64088.50779
18.59,109.82,45320.99771
18.58,110.06,
18.57,110.3,
18.56,110.54,
18.55,110.78,
18.54,111.02,
18.53,111.26,
18.52,111.5,
18.5,111.74,
18.49,111.98,
18.47,112.22,
18.46,112.46,
18.44,112.69,
18.42,112.93,
18.41,113.17,
18.39,113.41,
18.37,113.65,
18.35,113.89,
18.33,114.12,
18.31,114.36,
18.29,114.6,
18.26,114.84,
18.24,115.08,
18.22,115.31,
18.19,115.55,
18.17,115.79,
18.14,116.02,
18.12,116.26,
18.09,116.5,
18.06,116.73,
18.03,116.97,
18,117.21,
17.97,117.44,
17.94,117.68,
17.91,117.91,
17.88,118.15,
17.85,118.38,
17.82,118.62,
17.78,118.85,
17.75,119.09,
17.71,119.32,
17.68,119.55,
17.64,119.79,
17.6,120.02,
17.57,120.26,
17.53,120.49,113794.9766
17.49,120.72,20211.22339
17.45,120.95,15002.43425
17.41,121.19,114233.8996
17.37,121.42,85416.11053
17.33,121.65,155138.7437
17.29,121.88,7497.174856
17.24,122.11,
17.2,122.34,
17.16,122.58,
17.11,122.81,
17.07,123.04,
17.02,123.27,
16.98,123.5,
16.93,123.73,
16.88,123.95,
16.83,124.18,
16.79,124.41,
16.74,124.64,
16.69,124.87,
16.64,125.1,
16.59,125.32,
16.53,125.55,0
15.15,82.02,0
15.22,82.24,0
15.28,82.46,0
15.35,82.67,0
15.42,82.89,0
15.48,83.11,0
15.54,83.33,0
15.61,83.56,0
15.67,83.78,0
15.73,84,0
15.8,84.22,0
15.86,84.44,0
15.92,84.66,0
15.98,84.89,0
16.04,85.11,0
16.1,85.33,0
16.16,85.56,0
16.22,85.78,0
16.27,86.01,0
16.33,86.23,0
16.39,86.46,0
16.44,86.68,0
16.5,86.91,0
16.55,87.14,0
16.61,87.36,0
16.66,87.59,0
16.71,87.82,0
16.77,88.04,0
16.82,88.27,0
16.87,88.5,0
16.92,88.73,0
16.97,88.96,0
17.02,89.19,0
17.07,89.42,0
17.11,89.65,0
17.16,89.88,
17.21,90.11,
17.26,90.34,
17.3,90.57,
17.35,90.8,
17.39,91.03,
17.43,91.26,
17.48,91.49,
17.52,91.72,
17.56,91.96,
17.6,92.19,
17.64,92.42,
17.68,92.66,
17.72,92.89,
17.76,93.12,
17.8,93.36,
17.84,93.59,
17.87,93.82,
17.91,94.06,
17.95,94.29,
17.98,94.53,15257.83068
18.01,94.76,70127.57568
18.05,95,68466.03748
18.08,95.24,103259.4265
18.11,95.47,118564.6893
18.14,95.71,72361.42678
18.18,95.94,61765.02027
18.21,96.18,57763.36048
