x,y,human20_585
18.34,110.53,30.885975
18.33,110.77,30.64744
18.31,111.01,30.525013
18.3,111.25,30.218904
18.29,111.49,30.043407
18.28,111.72,29.666618
18.26,111.96,29.334845
18.25,112.2,29.1348
18.23,112.44,28.96959
18.21,112.68,29.013823
18.2,112.91,28.95556
18.18,113.15,28.752537
18.16,113.39,28.518284
18.14,113.63,28.375774
18.12,113.87,28.133106
18.1,114.1,27.805975
18.08,114.34,27.532858
18.06,114.58,27.255629
18.04,114.81,26.941442
18.02,115.05,26.642666
17.99,115.29,26.31455
17.97,115.52,25.938707
17.94,115.76,25.659317
17.92,116,25.53251
17.89,116.23,25.445854
17.86,116.47,25.39968
17.84,116.7,25.390577
17.81,116.94,25.38183
17.78,117.17,25.375122
17.75,117.41,25.399853
17.72,117.64,25.477833
17.69,117.88,25.502844
17.66,118.11,25.585865
17.62,118.35,25.726583
17.59,118.58,25.961298
17.56,118.82,26.144144
17.52,119.05,26.370537
17.49,119.28,26.46816
17.45,119.52,26.458237
17.42,119.75,26.27101
17.38,119.98,26.283323
17.34,120.22,25.91009
17.31,120.45,24.294352
17.27,120.68,21.135693
17.23,120.91,21.81136
17.19,121.14,22.767658
17.15,121.38,22.562101
17.11,121.61,23.557934
17.07,121.84,22.841288
17.02,122.07,22.697376
16.98,122.3,22.764858
16.94,122.53,25.110638
16.89,122.76,24.913202
16.85,122.99,25.384554
16.8,123.22,25.25495
16.76,123.45,25.025433
16.71,123.68,24.906706
16.66,123.91,24.780306
16.62,124.13,24.51544
16.57,124.36,24.045952
16.52,124.59,23.453497
16.47,124.82,23.154688
16.42,125.04,22.904413
16.37,125.27,22.60494
16.32,125.5,22.214287
14.94,82.09,32.314526
15.01,82.31,32.715504
15.07,82.52,32.771202
15.14,82.74,32.654408
15.2,82.96,32.49466
15.27,83.18,32.383453
15.33,83.4,32.27053
15.4,83.62,32.191578
15.46,83.84,32.177483
15.52,84.06,32.191826
15.58,84.28,32.17785
15.64,84.51,32.221004
